Date, Time, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_vfr_hud_t.groundspeed, mavlink_vfr_hud_t.heading, mavlink_mission_request_t.seq, mavlink_mission_request_t.mission_type, mavlink_mission_request_t.target_component, mavlink_mission_item_int_t.current, mavlink_mission_count_t.count, mavlink_global_position_int_t.lat, mavlink_global_position_int_t.lon
10/6/2020, 12:21:14 ,0.02406025,-0.03571247,-2.210074,-0.02085826,-0.1386078,-0.003918509,0.5268804,233,33,0,190,0, t,444449458,-696008681
10/6/2020, 12:21:15 ,0.008307045,-0.003705628,-2.201947,0.1506856,0.04506018,-0.01547172,0.4796709,233,33,0,190,0, t,444449448,-696008722
10/6/2020, 12:21:16 ,-0.01150844,0.01698105,-2.22282,0.02633081,0.1592471,-0.02691892,0.4588175,233,33,0,190,0, t,444449427,-696008797
10/6/2020, 12:21:17 ,0.009005871,-0.003250357,-2.251531,0.004470893,-0.06519954,-0.04821934,0.4198087,231,33,0,190,0, t,444449427,-696008797
10/6/2020, 12:21:18 ,0.03924072,0.01692871,-2.274727,0.06816252,0.1936563,-0.02239977,0.4215853,231,33,0,190,0, t,444449409,-696008863
10/6/2020, 12:21:19 ,0.06547526,0.02231486,-2.283651,0.3273046,0.08838386,-0.02272044,0.3780654,229,33,0,190,0, t,444449399,-696008892
10/6/2020, 12:21:20 ,0.05389751,-0.02521603,-2.308797,0.1635506,-0.284699,-0.05746361,0.4181539,229,33,0,190,0, t,444449374,-696008952
10/6/2020, 12:21:21 ,0.000275448,0.0201464,-2.29288,-0.104478,0.09307671,0.04966728,0.3885091,228,33,0,190,0, t,444449357,-696008982
10/6/2020, 12:21:23 ,0.02423025,-0.01968227,-2.280212,0.1160498,-0.03888734,0.000225357,0.4058844,229,33,0,190,0, t,444449339,-696009020
10/6/2020, 12:21:24 ,0.03700982,0.01014326,-2.282586,0.1881336,0.01354959,-0.0202532,0.542902,229,33,0,190,0, t,444449280,-696009162
10/6/2020, 12:21:26 ,0.02130708,-0.00292455,-2.30916,-0.008427671,-0.03726757,-0.03639864,0.542902,229,33,0,190,0, t,444449257,-696009218
10/6/2020, 12:21:27 ,0.02130708,-0.00292455,-2.30916,-0.008427671,-0.03726757,-0.03639864,0.6270668,227,33,0,190,0, t,444449201,-696009373
10/6/2020, 12:21:28 ,0.05905752,-0.006135579,-2.379867,0.06975658,-0.1045132,-0.06200693,0.609122,223,33,0,190,0, t,444449183,-696009418
10/6/2020, 12:21:29 ,0.03780392,-0.01465646,-2.406867,0.1630262,-0.1319241,-0.08292893,0.5574121,223,33,0,190,0, t,444449164,-696009465
10/6/2020, 12:21:30 ,0.01490293,-0.01542372,-2.419457,0.05849286,0.02590215,-0.04049808,0.6049224,222,33,0,190,0, t,444449164,-696009465
10/6/2020, 12:21:31 ,0.05313891,-0.005166728,-2.432595,0.1153864,-0.03083681,-0.04365771,0.5820502,221,33,0,190,0, t,444449121,-696009559
10/6/2020, 12:21:32 ,-0.01457603,-0.000973743,-2.438514,-0.2244864,0.04303605,0.01157166,0.5358245,220,33,0,190,0, t,444449079,-696009643
10/6/2020, 12:21:33 ,0.03624959,0.000502583,-2.48354,0.16608,-0.1209605,-0.04507102,0.534577,217,33,0,190,0, t,444449058,-696009685
10/6/2020, 12:21:34 ,0.003042664,-0.03180236,-2.505783,-0.09748958,0.08304695,-0.008440382,0.4762131,217,33,0,190,0, t,444449036,-696009724
10/6/2020, 12:21:35 ,0.005466107,0.000432055,-2.509403,-0.04638945,0.03200506,0.04692331,0.4715661,216,33,0,190,0, t,444449016,-696009761
10/6/2020, 12:21:36 ,0.05194577,-0.02185407,-2.506115,-0.01995638,-0.01929877,-0.01863021,0.4558769,216,33,0,190,0, t,444448993,-696009802
