Date, Time, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_vfr_hud_t.groundspeed, mavlink_vfr_hud_t.heading, mavlink_mission_request_t.seq, mavlink_mission_request_t.mission_type, mavlink_mission_request_t.target_component, mavlink_mission_item_int_t.current, mavlink_mission_count_t.count, mavlink_global_position_int_t.lat, mavlink_global_position_int_t.lon
10/6/2020, 3:56:02 ,0.02818855,0.004300155,-2.681797,0.09364058,0.09879543,-0.3283541,0.4484935,215,35,0,190,0, t,441250489,-701060857
10/6/2020, 3:56:03 ,0.0269893,0.000560869,-2.830777,0.1671731,-0.07456643,-0.07414431,0.546856,199,35,0,190,0, t,441250466,-701060879
10/6/2020, 3:56:04 ,0.04899389,-0.002340227,-2.843073,-0.1185792,0.08295584,0.03959936,0.6066867,197,35,0,190,0, t,441250437,-701060900
10/6/2020, 3:56:05 ,0.05464615,-0.01750891,-2.799527,0.018112,0.04078051,0.08693489,0.62802,198,35,0,190,0, t,441250404,-701060914
10/6/2020, 3:56:06 ,0.03872525,0.007935047,-2.739682,0.08463523,0.0978956,0.05192265,0.5942999,201,35,0,190,0, t,441250378,-701060928
10/6/2020, 3:56:07 ,0.04181037,-0.01273934,-2.681308,-0.01855154,0.05723537,0.06409314,0.5649992,204,35,0,190,0, t,441250312,-701060968
10/6/2020, 3:56:08 ,0.03868618,-0.03641637,-2.596313,-0.04498938,-0.1272839,0.03201119,0.5548736,210,35,0,190,0, t,441250284,-701060988
10/6/2020, 3:56:09 ,0.006301112,-0.01740495,-2.560441,-0.06176865,0.05927254,0.05990276,0.5228113,212,35,0,190,0, t,441250228,-701061026
10/6/2020, 3:56:10 ,0.0540405,-0.03777352,-2.570549,-0.05538309,-0.1749733,-0.001702387,0.5260569,213,35,0,190,0, t,441250204,-701061045
10/6/2020, 3:56:11 ,0.02746252,0.004356656,-2.571991,-0.06811323,0.184228,0.05857263,0.5226388,213,35,0,190,0, t,441250180,-701061069
10/6/2020, 3:56:12 ,0.03901142,-0.0214154,-2.57829,0.02069626,0.07900779,0.000335962,0.4937715,212,35,0,190,0, t,441250141,-701061113
