Date, Time, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_vfr_hud_t.groundspeed, mavlink_vfr_hud_t.heading, mavlink_mission_request_t.seq, mavlink_mission_request_t.mission_type, mavlink_mission_request_t.target_component, mavlink_mission_item_int_t.current, mavlink_mission_count_t.count, mavlink_global_position_int_t.lat, mavlink_global_position_int_t.lon
10/6/2020, 3:48:47 , 0.05115411, -0.08767428, 2.118765, -0.002967448, -0.0008997368, -0.003325646, 0.045651, 220, 33, 0, 190, 0, t, 444452713, -696007526
10/6/2020, 3:48:47 , 0.05115411, -0.08767428, 2.118765, -0.002967448, -0.0008997368, -0.003325646, 0.376, 121, 33, 0, 190, 0, t, 444452713, -696007526
10/6/2020, 3:48:47 , 0.05113455, -0.08770623, 2.118627, -0.001956735, -0.0005777529, -0.001759022, 0.376, 121, 33, 0, 190, 0, t, 444452713, -696007526
10/6/2020, 3:48:47 , 0.05113455, -0.08770623, 2.118627, -0.001956735, -0.0005777529, -0.001759022, 0.341, 121, 33, 0, 190, 0, t, 444452713, -696007526
10/6/2020, 3:48:47 , 0.05113455, -0.08770623, 2.118627, -0.001956735, -0.0005777529, -0.001759022, 0.341, 121, 33, 0, 190, 0, t, 441255230, -701060902
10/6/2020, 3:48:47 , 0.05109652, -0.08777358, 2.118391, -0.001150491, -0.001845132, -0.001845888, 0.341, 121, 33, 0, 190, 0, t, 441255230, -701060902
10/6/2020, 3:48:47 , 0.05109652, -0.08777358, 2.118391, -0.001150491, -0.001845132, -0.001845888, 0.396, 121, 33, 0, 190, 0, t, 441255230, -701060902
10/6/2020, 3:48:47 , 0.05122275, -0.08777735, 2.118268, 0.001913687, -0.001316119, -0.002120811, 0.396, 121, 33, 0, 190, 0, t, 441255230, -701060902
10/6/2020, 3:48:47 , 0.05122275, -0.08777735, 2.118268, 0.001913687, -0.001316119, -0.002120811, 0.657, 121, 33, 0, 190, 0, t, 441255230, -701060902
10/6/2020, 3:48:47 , 0.05122275, -0.08777735, 2.118268, 0.001913687, -0.001316119, -0.002120811, 0.657, 121, 33, 0, 190, 0, t, 441255678, -701061318
10/6/2020, 3:48:48 , 0.05128339, -0.08792549, 2.118107, -0.001530397, -0.0003964994, -0.001648095, 0.657, 121, 33, 0, 190, 0, t, 441255678, -701061318
10/6/2020, 3:48:48 , 0.05128339, -0.08792549, 2.118107, -0.001530397, -0.0003964994, -0.001648095, 0.353, 121, 33, 0, 190, 0, t, 441255678, -701061318
10/6/2020, 3:48:48 , 0.0512284, -0.08801766, 2.117379, -0.001411774, -0.0001903758, -0.003438164, 0.353, 121, 33, 0, 190, 0, t, 441255678, -701061318
10/6/2020, 3:48:48 , 0.0512284, -0.08801766, 2.117379, -0.001411774, -0.0001903758, -0.003438164, 0.366, 121, 33, 0, 190, 0, t, 441255678, -701061318
10/6/2020, 3:48:48 , 0.0512284, -0.08801766, 2.117379, -0.001411774, -0.0001903758, -0.003438164, 0.366, 121, 33, 0, 190, 0, t, 441257256, -701062765
10/6/2020, 3:48:48 , 0.05118471, -0.08806363, 2.117051, -0.001352407, -0.001065605, -0.001650102, 0.366, 121, 33, 0, 190, 0, t, 441257256, -701062765
10/6/2020, 3:48:48 , 0.05118471, -0.08806363, 2.117051, -0.001352407, -0.001065605, -0.001650102, 0.242, 121, 33, 0, 190, 0, t, 441257256, -701062765
10/6/2020, 3:48:48 , 0.05119349, -0.08800883, 2.116559, -0.002526036, 0.0003639185, -0.003460343, 0.242, 121, 33, 0, 190, 0, t, 441257256, -701062765
10/6/2020, 3:48:48 , 0.05119349, -0.08800883, 2.116559, -0.002526036, 0.0003639185, -0.003460343, 0.215, 121, 33, 0, 190, 0, t, 441257256, -701062765
10/6/2020, 3:48:49 , 0.05119349, -0.08800883, 2.116559, -0.002526036, 0.0003639185, -0.003460343, 0.215, 121, 33, 0, 190, 0, t, 441258662, -701064045
10/6/2020, 3:48:49 , 0.05112591, -0.08804393, 2.116161, -0.001974667, -0.0005172153, -0.0009825891, 0.215, 121, 33, 0, 190, 0, t, 441258662, -701064045
10/6/2020, 3:48:49 , 0.05112591, -0.08804393, 2.116161, -0.001974667, -0.0005172153, -0.0009825891, 0.476, 121, 33, 0, 190, 0, t, 441258662, -701064045
10/6/2020, 3:48:49 , 0.05112591, -0.08804393, 2.116161, -0.001974667, -0.0005172153, -0.0009825891, 0.476, 121, 33, 0, 190, 0, t, 441259234, -701064536
10/6/2020, 3:48:49 , 0.0509419, -0.08806183, 2.116102, -0.0008944233, -0.001250428, -0.003229034, 0.476, 121, 33, 0, 190, 0, t, 441259234, -701064536
10/6/2020, 3:48:49 , 0.0509419, -0.08806183, 2.116102, -0.0008944233, -0.001250428, -0.003229034, 0.265, 121, 33, 0, 190, 0, t, 441259234, -701064536
10/6/2020, 3:48:49 , 0.05095381, -0.08810756, 2.115692, -0.00353612, -0.0001986199, -0.003772213, 0.265, 121, 33, 0, 190, 0, t, 441259234, -701064536
10/6/2020, 3:48:49 , 0.05095381, -0.08810756, 2.115692, -0.00353612, -0.0001986199, -0.003772213, 0.485, 121, 33, 0, 190, 0, t, 441259234, -701064536
10/6/2020, 3:48:49 , 0.05095381, -0.08810756, 2.115692, -0.00353612, -0.0001986199, -0.003772213, 0.485, 121, 33, 0, 190, 0, t, 441259423, -701064678
10/6/2020, 3:48:50 , 0.05090463, -0.08818512, 2.115536, -0.0005200536, -0.0005276161, -0.002029131, 0.485, 121, 33, 0, 190, 0, t, 441259423, -701064678
10/6/2020, 3:48:50 , 0.05090463, -0.08818512, 2.115536, -0.0005200536, -0.0005276161, -0.002029131, 0.386, 121, 33, 0, 190, 0, t, 441259423, -701064678
10/6/2020, 3:48:50 , 0.05087361, -0.08815368, 2.115333, -0.001761913, -0.001079155, -0.001870644, 0.386, 121, 33, 0, 190, 0, t, 441259423, -701064678
10/6/2020, 3:48:50 , 0.05087361, -0.08815368, 2.115333, -0.001761913, -0.001079155, -0.001870644, 0.148, 121, 33, 0, 190, 0, t, 441259423, -701064678
10/6/2020, 3:48:50 , 0.05087361, -0.08815368, 2.115333, -0.001761913, -0.001079155, -0.001870644, 0.148, 121, 33, 0, 190, 0, t, 441258850, -701064115
