Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V, mavlink_global_position_int_t.lat, mavlink_global_position_int_t.lon
10/6/2020,12:21:14,0,<site>,0.52,89.8,0.436,106.6,95.6,97.6,9.17,0.619,0.05,105.2,1.04,68,7.82,-47.4,17.335,0.438,5.85,11.8,444449458,-696008681
10/6/2020,12:21:15,0,<site>,0.51,89.9,0.436,106.7,95.6,97.6,9.17,0.619,0.05,105.4,1.05,68,7.82,-47.4,17.335,0.436,5.85,11.8,444449448,-696008722
10/6/2020,12:21:16,0,<site>,0.51,90.3,0.436,107.1,95.6,97.6,9.17,0.62,0.05,105.8,1.04,69,7.82,-47.4,17.334,0.437,5.85,11.8,444449427,-696008797
10/6/2020,12:21:17,0,<site>,0.51,90.7,0.436,107.6,95.6,97.6,9.17,0.62,0.05,106.2,1.04,69,7.82,-47.4,17.334,0.438,5.85,11.8,444449427,-696008797
10/6/2020,12:21:18,0,<site>,0.51,90.9,0.436,107.9,95.6,97.6,9.17,0.62,0.05,106.5,1,69,7.82,-47.4,17.334,0.438,5.85,11.8,444449409,-696008863
10/6/2020,12:21:19,0,<site>,0.5,91.1,0.436,108.1,95.6,97.6,9.17,0.62,0.05,106.7,1,69,7.82,-47.4,17.334,0.432,5.85,11.8,444449399,-696008892
10/6/2020,12:21:20,0,<site>,0.51,91.4,0.436,108.4,95.6,97.6,9.17,0.619,0.05,107.1,1,70,7.82,-47.4,17.333,0.431,5.85,11.8,444449374,-696008952
10/6/2020,12:21:21,0,<site>,0.5,91.7,0.436,108.8,95.6,97.6,9.17,0.619,0.05,107.4,0.99,70,7.82,-47.3,17.331,0.432,5.85,11.8,444449357,-696008982
10/6/2020,12:21:22,0,<site>,0.5,91.9,0.436,109,95.6,97.6,9.17,0.619,0.05,107.6,0.99,70,7.82,-47.2,17.33,0.432,5.85,11.8,444449339,-696009020
10/6/2020,12:21:23,0,<site>,0.5,92,0.436,109.1,95.5,97.6,9.17,0.619,0.05,107.8,0.99,70,7.82,-47.2,17.328,0.431,5.85,11.8,444449280,-696009162
10/6/2020,12:21:24,0,<site>,0.5,92.1,0.436,109.3,95.5,97.6,9.17,0.619,0.05,107.9,0.99,70,7.82,-47.1,17.326,0.429,5.85,11.8,444449257,-696009218
10/6/2020,12:21:25,0,<site>,0.49,92.1,0.435,109.3,95.5,97.5,9.17,0.618,0.05,107.9,0.98,70,7.82,-47,17.324,0.431,5.85,11.8,444449201,-696009373
10/6/2020,12:21:26,0,<site>,0.5,92.1,0.435,109.3,95.5,97.5,9.17,0.618,0.05,107.9,0.98,70,7.82,-46.9,17.321,0.431,5.85,11.8,444449183,-696009418
10/6/2020,12:21:27,0,<site>,0.51,92.1,0.435,109.3,95.5,97.5,9.16,0.618,0.05,107.9,0.98,70,7.82,-46.9,17.319,0.43,5.85,11.8,444449164,-696009465
10/6/2020,12:21:28,0,<site>,0.5,92.1,0.435,109.3,95.5,97.5,9.16,0.618,0.05,107.9,0.98,70,7.81,-46.8,17.316,0.428,5.85,11.8,444449164,-696009465
