Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
10/6/2020,15:56:02,0,<site>,1.21,91.8,0.114,110.2,82,83.8,7.96,0.161,0.05,108.8,0.78,71,2.33,0,7.67,-38.5,16.807,0.11,4.84,0
10/6/2020,15:56:03,0,<site>,1.21,91.8,0.113,110.3,82,83.7,7.96,0.161,0.05,108.8,0.77,71,2.33,0,7.67,-38.5,16.807,0.11,4.84,0
10/6/2020,15:56:04,0,<site>,1.22,91.8,0.113,110.3,82,83.7,7.96,0.161,0.05,108.8,0.78,71,2.33,0,7.67,-38.5,16.807,0.112,4.84,0
10/6/2020,15:56:05,0,<site>,1.23,91.8,0.113,110.3,82,83.7,7.95,0.161,0.05,108.8,0.78,71,2.35,0,7.67,-38.5,16.807,0.11,4.84,0
10/6/2020,15:56:06,0,<site>,1.26,91.8,0.113,110.3,82,83.7,7.95,0.161,0.05,108.8,0.79,71,2.37,0,7.67,-38.5,16.807,0.11,4.84,0
10/6/2020,15:56:07,0,<site>,1.27,91.8,0.113,110.2,82,83.7,7.95,0.161,0.05,108.8,0.8,71,2.34,0,7.67,-38.5,16.807,0.11,4.84,0
10/6/2020,15:56:08,0,<site>,1.29,91.8,0.113,110.2,82,83.7,7.95,0.161,0.05,108.8,0.8,71,2.29,0,7.67,-38.5,16.808,0.108,4.84,0
10/6/2020,15:56:09,0,<site>,1.31,91.8,0.113,110.2,82,83.7,7.95,0.161,0.05,108.8,0.81,71,2.29,0,7.67,-38.5,16.809,0.105,4.84,0
10/6/2020,15:56:10,0,<site>,1.31,91.8,0.113,110.2,82,83.7,7.95,0.161,0.05,108.8,0.82,71,2.26,0,7.67,-38.5,16.81,0.109,4.84,0
10/6/2020,15:56:11,0,<site>,1.31,91.7,0.113,110.2,82,83.7,7.95,0.161,0.05,108.8,0.82,71,2.24,0,7.67,-38.5,16.811,0.112,4.85,0
10/6/2020,15:56:12,0,<site>,1.32,91.7,0.114,110.2,82,83.7,7.95,0.161,0.05,108.7,0.82,71,2.23,0,7.67,-38.5,16.812,0.112,4.85,0
10/6/2020,15:56:13,0,<site>,1.31,91.7,0.113,110.2,82,83.7,7.95,0.161,0.05,108.7,0.82,71,2.23,0,7.67,-38.5,16.813,0.111,4.85,0
10/6/2020,15:56:14,0,<site>,1.31,91.7,0.113,110.1,82,83.7,7.95,0.161,0.05,108.7,0.83,71,2.22,0,7.67,-38.5,16.815,0.109,4.85,0
10/6/2020,15:56:15,0,<site>,1.31,91.7,0.114,110.1,82,83.8,7.95,0.161,0.05,108.7,0.82,71,2.17,0,7.67,-38.6,16.816,0.114,4.85,0
10/6/2020,15:56:16,0,<site>,1.3,91.6,0.113,110.1,82,83.8,7.96,0.161,0.05,108.6,0.82,71,2.14,0,7.67,-38.6,16.818,0.113,4.85,0
10/6/2020,15:56:17,0,<site>,1.26,91.6,0.113,110,82.1,83.8,7.96,0.161,0.05,108.6,0.82,71,2.12,0,7.67,-38.6,16.819,0.108,4.85,0
10/6/2020,15:56:18,0,<site>,1.27,91.6,0.113,110,82.1,83.8,7.96,0.161,0.05,108.6,0.82,71,2.1,0,7.67,-38.7,16.821,0.114,4.85,0
10/6/2020,15:56:19,0,<site>,1.25,91.6,0.113,110,82.1,83.9,7.96,0.161,0.05,108.5,0.82,71,2.08,0,7.67,-38.7,16.822,0.112,4.85,0
10/6/2020,15:56:20,0,<site>,1.24,91.6,0.113,110,82.2,83.9,7.97,0.161,0.05,108.5,0.83,71,2.07,0,7.68,-38.8,16.824,0.114,4.85,0
10/6/2020,15:56:21,0,<site>,1.23,91.6,0.113,109.9,82.2,83.9,7.97,0.161,0.05,108.5,0.84,71,2.03,0,7.68,-38.9,16.825,0.112,4.85,0
10/6/2020,15:56:22,0,<site>,1.22,91.5,0.113,109.9,82.2,84,7.98,0.16,0.05,108.5,0.85,71,2.04,0,7.68,-38.9,16.826,0.111,4.85,0
10/6/2020,15:56:23,0,<site>,1.21,91.5,0.113,109.9,82.3,84,7.98,0.16,0.05,108.5,0.85,71,2.03,0,7.68,-39,16.827,0.114,4.85,0
10/6/2020,15:56:24,0,<site>,1.21,91.5,0.113,109.9,82.4,84.1,7.99,0.16,0.05,108.5,0.86,71,2.01,0,7.68,-39.1,16.828,0.112,4.85,0
10/6/2020,15:56:25,0,<site>,1.21,91.5,0.113,109.9,82.4,84.2,7.99,0.16,0.05,108.5,0.85,70,2,0,7.68,-39.2,16.828,0.113,4.85,0
10/6/2020,15:56:26,0,<site>,1.2,91.5,0.113,109.9,82.5,84.2,8,0.16,0.05,108.4,0.85,70,2,0,7.68,-39.3,16.83,0.113,4.85,0
10/6/2020,15:56:27,0,<site>,1.2,91.5,0.113,109.9,82.5,84.3,8,0.16,0.05,108.4,0.86,70,1.98,0,7.69,-39.4,16.831,0.111,4.85,0
10/6/2020,15:56:28,0,<site>,1.19,91.5,0.113,109.9,82.6,84.3,8.01,0.16,0.05,108.4,0.86,70,1.97,0,7.69,-39.5,16.832,0.115,4.85,0
10/6/2020,15:56:29,0,<site>,1.19,91.5,0.113,109.9,82.7,84.4,8.01,0.16,0.05,108.4,0.86,70,1.97,0,7.69,-39.6,16.833,0.114,4.85,0
10/6/2020,15:56:30,0,<site>,1.18,91.5,0.113,109.9,82.7,84.5,8.02,0.16,0.05,108.4,0.86,70,1.98,0,7.69,-39.7,16.834,0.115,4.85,0
10/6/2020,15:56:31,0,<site>,1.18,91.5,0.112,109.8,82.8,84.5,8.02,0.159,0.05,108.4,0.86,70,1.99,0,7.69,-39.8,16.835,0.112,4.84,0
