Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V, mavlink_global_position_int_t.lat, mavlink_global_position_int_t.lon,,
10/6/2020,15:56:02,0,<site>,0.92,91.3,0.387,109.6,83.1,84.9,8.06,0.55,0.05,108.2,0.95,70,7.45,-25.7,16.848,0.387,5.81,11.8,441250489,-701060857,44.1250489,-70.1060857
10/6/2020,15:56:03,0,<site>,0.92,91.3,0.387,109.6,83.1,84.9,8.06,0.55,0.05,108.2,0.94,70,7.45,-25.7,16.848,0.387,5.81,11.8,441250466,-701060879,44.1250466,-70.1060879
10/6/2020,15:56:04,0,<site>,0.93,91.3,0.387,109.6,83.1,84.9,8.05,0.55,0.05,108.2,0.94,70,7.45,-25.6,16.848,0.387,5.81,11.8,441250437,-701060900,44.1250437,-70.10609
10/6/2020,15:56:05,0,<site>,0.93,91.3,0.387,109.6,83.1,84.9,8.05,0.55,0.05,108.2,0.95,70,7.45,-25.6,16.848,0.388,5.81,11.8,441250404,-701060914,44.1250404,-70.1060914
10/6/2020,15:56:06,0,<site>,0.93,91.3,0.387,109.6,83.1,84.8,8.05,0.55,0.05,108.2,0.95,70,7.44,-25.5,16.847,0.388,5.81,11.8,441250378,-701060928,44.1250378,-70.1060928
10/6/2020,15:56:07,0,<site>,0.93,91.3,0.387,109.6,83.1,84.8,8.05,0.55,0.05,108.2,0.96,70,7.44,-25.5,16.847,0.388,5.81,11.8,441250312,-701060968,44.1250312,-70.1060968
10/6/2020,15:56:08,0,<site>,0.93,91.3,0.387,109.6,83.1,84.8,8.05,0.55,0.05,108.1,0.95,70,7.44,-25.4,16.847,0.387,5.81,11.8,441250284,-701060988,44.1250284,-70.1060988
10/6/2020,15:56:09,0,<site>,0.94,91.3,0.387,109.5,83.1,84.8,8.05,0.55,0.05,108.1,0.95,70,7.44,-25.4,16.847,0.39,5.81,11.8,441250228,-701061026,44.1250228,-70.1061026
10/6/2020,15:56:10,0,<site>,0.93,91.3,0.387,109.5,83.1,84.8,8.05,0.55,0.05,108.1,0.96,70,7.44,-25.4,16.848,0.391,5.81,11.8,441250204,-701061045,44.1250204,-70.1061045
10/6/2020,15:56:11,0,<site>,0.94,91.2,0.388,109.5,83.1,84.8,8.05,0.55,0.05,108.1,0.96,70,7.44,-25.4,16.848,0.393,5.81,11.8,441250180,-701061069,44.125018,-70.1061069
10/6/2020,15:56:12,0,<site>,0.94,91.2,0.388,109.5,83.1,84.8,8.05,0.551,0.05,108,0.96,70,7.44,-25.4,16.849,0.389,5.81,11.8,441250141,-701061113,44.1250141,-70.1061113
10/6/2020,15:56:13,0,<site>,0.93,91.2,0.388,109.4,83.1,84.8,8.05,0.551,0.05,108,0.96,70,7.44,-25.4,16.849,0.387,5.81,11.8,441250141,-701061113,44.1250141,-70.1061113
10/6/2020,15:56:14,0,<site>,0.94,91.2,0.388,109.4,83.1,84.8,8.05,0.551,0.05,108,0.98,70,7.44,-25.4,16.85,0.387,5.81,11.8,441250100,-701061150,44.12501,-70.106115
10/6/2020,15:56:15,0,<site>,0.93,91.1,0.388,109.4,83.1,84.8,8.05,0.55,0.05,107.9,0.98,70,7.44,-25.4,16.851,0.387,5.81,11.8,441250078,-701061161,44.1250078,-70.1061161
10/6/2020,15:56:16,0,<site>,0.94,91.1,0.388,109.3,83.1,84.9,8.06,0.551,0.05,107.9,0.98,70,7.44,-25.5,16.852,0.388,5.82,11.8,441250046,-701061192,44.1250046,-70.1061192
10/6/2020,15:56:17,0,<site>,0.94,91.1,0.388,109.3,83.1,84.9,8.06,0.55,0.05,107.9,0.99,70,7.45,-25.6,16.853,0.388,5.82,11.8,441250028,-701061205,44.1250028,-70.1061205
10/6/2020,15:56:18,0,<site>,0.93,91.1,0.388,109.3,83.2,84.9,8.06,0.55,0.05,107.8,0.99,70,7.45,-25.6,16.854,0.387,5.82,11.8,441250012,-701061221,44.1250012,-70.1061221
10/6/2020,15:56:19,0,<site>,0.93,91,0.388,109.2,83.2,85,8.06,0.55,0.05,107.8,0.99,70,7.45,-25.7,16.855,0.388,5.82,11.8,441249987,-701061238,44.1249987,-70.1061238
10/6/2020,15:56:20,0,<site>,0.93,91,0.388,109.2,83.2,85,8.07,0.55,0.05,107.8,0.99,70,7.45,-25.7,16.856,0.387,5.82,11.8,441249939,-701061259,44.1249939,-70.1061259
10/6/2020,15:56:21,0,<site>,0.93,91,0.388,109.2,83.3,85,8.07,0.55,0.05,107.8,1,70,7.45,-25.8,16.857,0.387,5.82,11.8,441249916,-701061266,44.1249916,-70.1061266
10/6/2020,15:56:22,0,<site>,0.93,91,0.388,109.2,83.3,85.1,8.08,0.55,0.05,107.8,1,70,7.45,-25.9,16.858,0.388,5.82,11.8,441249897,-701061276,44.1249897,-70.1061276
10/6/2020,15:56:23,0,<site>,0.93,91,0.388,109.2,83.4,85.1,8.08,0.55,0.05,107.8,1.01,70,7.45,-26,16.859,0.387,5.82,11.8,441249878,-701061282,44.1249878,-70.1061282
10/6/2020,15:56:24,0,<site>,0.93,91,0.388,109.2,83.4,85.2,8.08,0.55,0.05,107.8,1.01,70,7.46,-26.1,16.859,0.386,5.82,11.8,441249849,-701061295,44.1249849,-70.1061295
10/6/2020,15:56:25,0,<site>,0.93,91,0.387,109.2,83.5,85.2,8.09,0.55,0.05,107.8,1.01,70,7.46,-26.3,16.86,0.387,5.82,11.8,441249819,-701061308,44.1249819,-70.1061308
10/6/2020,15:56:26,0,<site>,0.93,91,0.387,109.2,83.5,85.3,8.09,0.55,0.05,107.8,1,70,7.46,-26.4,16.861,0.386,5.82,11.8,441249767,-701061350,44.1249767,-70.106135
10/6/2020,15:56:27,0,<site>,0.92,91,0.387,109.2,83.6,85.4,8.1,0.55,0.05,107.7,1.01,70,7.46,-26.5,16.862,0.387,5.82,11.8,441249740,-701061374,44.124974,-70.1061374
10/6/2020,15:56:28,0,<site>,0.92,91,0.387,109.2,83.6,85.4,8.1,0.55,0.05,107.7,1.02,70,7.46,-26.6,16.863,0.387,5.82,11.8,441249711,-701061389,44.1249711,-70.1061389
10/6/2020,15:56:29,0,<site>,0.93,91,0.387,109.2,83.7,85.5,8.11,0.55,0.05,107.7,1.02,70,7.47,-26.8,16.864,0.387,5.82,11.8,441249651,-701061417,44.1249651,-70.1061417
10/6/2020,15:56:30,0,<site>,0.93,91,0.387,109.2,83.7,85.5,8.11,0.55,0.05,107.7,1.03,70,7.47,-26.9,16.865,0.387,5.82,11.8,441249623,-701061425,44.1249623,-70.1061425
10/6/2020,15:56:31,0,<site>,0.93,91,0.387,109.1,83.8,85.6,8.12,0.55,0.05,107.7,1.03,70,7.47,-27,16.867,0.387,5.82,11.8,441249597,-701061432,44.1249597,-70.1061432
10/6/2020,15:56:32,0,<site>,0.94,91,0.387,109.1,83.8,85.6,8.12,0.55,0.05,107.7,1.03,70,7.47,-27.1,16.868,0.387,5.82,11.8,441249563,-701061465,44.1249563,-70.1061465
