Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
10/6/2020,12:21:14,0,<site>,0.57,92.4,0.139,109.8,94.6,96.6,9.08,0.198,0.05,108.4,0.8,70,2.42,0,8.09,-62.9,17.296,0.146,4.95,0
10/6/2020,12:21:15,0,<site>,0.56,92.5,0.139,109.8,94.5,96.6,9.08,0.197,0.05,108.4,0.8,70,2.4,0,8.09,-62.9,17.295,0.136,4.95,0
10/6/2020,12:21:16,0,<site>,0.56,92.5,0.139,109.8,94.5,96.5,9.08,0.198,0.05,108.4,0.8,70,2.4,0,8.09,-62.9,17.295,0.144,4.95,0
10/6/2020,12:21:17,0,<site>,0.55,92.5,0.139,109.8,94.5,96.5,9.08,0.198,0.05,108.4,0.81,70,2.38,0,8.09,-62.9,17.294,0.142,4.95,0
10/6/2020,12:21:18,0,<site>,0.55,92.5,0.139,109.8,94.5,96.5,9.08,0.198,0.05,108.4,0.8,70,2.37,0,8.09,-62.9,17.293,0.135,4.95,0
10/6/2020,12:21:19,0,<site>,0.55,92.5,0.139,109.8,94.5,96.5,9.08,0.198,0.05,108.5,0.8,70,2.38,0,8.1,-63,17.29,0.142,4.95,0
10/6/2020,12:21:20,0,<site>,0.55,92.5,0.139,109.8,94.5,96.5,9.08,0.198,0.05,108.5,0.8,71,2.34,0,8.1,-63,17.288,0.143,4.95,0
10/6/2020,12:21:21,0,<site>,0.53,92.5,0.14,109.8,94.5,96.5,9.08,0.198,0.05,108.5,0.8,71,2.31,0,8.1,-63,17.286,0.14,4.95,0
10/6/2020,12:21:22,0,<site>,0.53,92.5,0.14,109.9,94.5,96.5,9.07,0.198,0.05,108.5,0.79,71,2.25,0,8.1,-63.1,17.284,0.138,4.95,0
10/6/2020,12:21:23,0,<site>,0.54,92.5,0.14,109.9,94.4,96.4,9.07,0.198,0.05,108.5,0.79,71,2.2,0,8.1,-63.1,17.281,0.147,4.95,0
10/6/2020,12:21:24,0,<site>,0.56,92.5,0.14,109.9,94.4,96.4,9.07,0.198,0.05,108.5,0.79,71,2.17,0,8.1,-63.1,17.278,0.141,4.95,0
10/6/2020,12:21:25,0,<site>,0.55,92.5,0.14,109.9,94.4,96.4,9.07,0.199,0.05,108.5,0.79,71,2.15,0,8.1,-63.1,17.275,0.138,4.95,0
